,name,department,rating,total_ratings,would take again,difficulty
2738,Julie Casey,History,4.3,21 ratings,90%,4
2739,William Bulko,Computer Science,4.3,38 ratings,88%,2.4
2740,Nilen Varade,Physics,0.0,0 ratings,N/A,0
2741,Daniel de Repentigny,Business,0.0,0 ratings,N/A,0
2742,Alan Sager,Government,3.5,25 ratings,67%,4
2743,Laurent Lafleche,Mathematics,2.3,4 ratings,50%,3.8
2744,Layla Guyot,Statistics & Data Science,3.6,20 ratings,75%,3.6
2745,Emanuel Tutuc,Engineering,4.6,8 ratings,100%,4
2746,Nathan Jensen,Government,5.0,6 ratings,100%,2.7
2747,Fares Fraij,Computer Science,4.3,49 ratings,91%,3.2
2748,Anat Miamon,Middle Eastern Studies,1.0,1 ratings,67%,5
2749,Philipp Krahenbuhl,Computer Science,3.7,3 ratings,34%,4.7
2750,Keji Lai,Physics,3.4,11 ratings,77%,3.6
2751,Mariana Sabino-Salazar,Spanish & Portuguese,5.0,3 ratings,100%,2
2752,Gretchen Murphy,English,4.3,6 ratings,75%,2.2
2753,Ibaad Rahman,Physics,4.5,2 ratings,N/A,3.5
2754,Prashant Jha,Engineering,2.3,14 ratings,29%,4.1
2755,Jeffrey Linwood,Journalism,0.0,0 ratings,N/A,0
2756,Elizabeth Bradbury,Biology,3.3,66 ratings,66%,3.6
2757,Diana Orozco-Lapray,Human Dev & Family Sciences,5.0,1 ratings,100%,2
2758,Taha Alhalimi,Kinesiology amp Health,0.0,0 ratings,N/A,0
2759,Maria Arredondo,Human Dev & Family Sciences,0.0,0 ratings,100%,0
2760,Frances Champagne,Psychology,5.0,3 ratings,100%,1
2761,Luke Bishop,Spanish & Portuguese,5.0,2 ratings,100%,3.5
2762,Irma Nevarez,Spanish Portuguese,3.8,8 ratings,75%,3.6
2763,Emmet Campos,Mexican American Studies,0.0,0 ratings,N/A,0
2764,Elias Saqan,Engineering,1.0,2 ratings,34%,4
2765,Stuart Reichler,Science,4.2,33 ratings,88%,2.3
2766,Christine Bird,Government,3.6,5 ratings,60%,3.2
2767,Derreck Powell,Spanish & Portuguese,0.0,0 ratings,N/A,0
2768,Hannah Wojciehowski,English,0.0,0 ratings,100%,0
2769,Gerald Oettinger,Economics,4.5,24 ratings,87%,2.9
2770,Steven Pedigo,Social Science,2.7,3 ratings,67%,4
2771,Abigail Hazlett,Communication,4.8,4 ratings,100%,3.2
2772,Irina Marinova,Science,4.3,15 ratings,84%,2.6
2773,Katie Tackett,Special Education,5.0,13 ratings,100%,1.5
2774,Khristian Mendez,Theatre & Dance,2.8,14 ratings,43%,3.4
2775,Luis Sentis,Engineering,4.6,9 ratings,90%,2.7
2776,Jarrod Lewis-Peacock,Psychology,2.8,6 ratings,50%,3.5
2777,Damon Gaddis,Education,1.0,13 ratings,0%,4.5
2778,Daniel Eaton,Philosophy,4.0,1 ratings,N/A,3
2779,Alia Hudroge,English,0.0,0 ratings,N/A,0
2780,Steve Gilbert,Business,4.0,5 ratings,100%,3.4
2781,Hector Dominguez-Ruvalcaba,Spanish & Portuguese,4.2,9 ratings,63%,2.7
2782,Randi Saunders,Sociology,0.0,0 ratings,100%,0
2783,Cary Cardova,American Studies,0.0,0 ratings,N/A,0
2784,Ed Salvato,Marketing,0.0,0 ratings,N/A,0
2785,Sunghyuk Park,Mathematics,0.0,0 ratings,100%,0
2786,Ruochen LU,Engineering,4.5,2 ratings,100%,4
2787,Aragorn Miller,History,3.5,16 ratings,80%,3.5
2788,Kendra Koch,Nursing,0.0,0 ratings,100%,0
2789,Marci Gleason,Humanities,4.3,37 ratings,89%,2.5
2790,Andrew Butters,Journalism,0.0,0 ratings,100%,0
2791,Rachel Bardin,Film,0.0,0 ratings,N/A,0
2792,Laurel Rogers,Film,0.0,0 ratings,100%,0
2793,Paxton Haven,Film,0.0,0 ratings,N/A,0
2794,Lily Kunda,Film,0.0,0 ratings,N/A,0
2795,Andy Wright,Film,0.0,0 ratings,100%,0
2796,Liam Cosgrove,Advisor,0.0,0 ratings,N/A,0
2797,Jana Weiss,History,0.0,0 ratings,100%,0
2798,Amy Pavel,Computer Science,0.0,0 ratings,100%,0
2799,Orlando Kelm,Spanish & Portuguese,4.9,19 ratings,97%,1.5
2800,C.J. Alvarez,Ethnic Studies,4.5,2 ratings,100%,3
2801,Brian Lukoff,Statistics,4.7,9 ratings,93%,3.9
2802,Chand John,Computer Science,4.3,31 ratings,88%,2.5
2803,Gregory Alves,Finance,1.2,21 ratings,5%,4.5
2804,Isil Dillig,Computer Science,3.8,9 ratings,87%,3.8
2805,Robert Newberry,Chemistry,0.0,0 ratings,100%,0
2806,Yolanda Padilla,Social Work,4.4,15 ratings,92%,1.7
2807,Jonathan Perry,Physics,3.9,28 ratings,89%,3.4
2808,Christine Julien,Engineering,1.0,1 ratings,0%,1
2809,Brian Lendecky,Accounting,3.8,32 ratings,79%,3.6
2810,Timothy Shanahan,Geology,3.1,64 ratings,63%,3.3
2811,Robbie Kubala,Philosophy,5.0,1 ratings,100%,2
2812,Nico Osier,Nursing,4.5,4 ratings,100%,1.5
2813,Jennifer Adair,Education,5.0,8 ratings,100%,1.6
2814,Roberto Carlos,Government,0.0,0 ratings,100%,0
2815,Caryn Carlson,Psychology,5.0,2 ratings,100%,3.5
2816,Bradley Gold,Business,3.5,23 ratings,60%,3.2
2817,Claudia Esquivel,Finance,3.0,1 ratings,0%,4
2818,Andrew Belnap,Accounting,0.0,0 ratings,100%,0
2819,Merri Su Ruhmann,Accounting,1.7,3 ratings,0%,3
2820,Jayant Sirohi,Engineering,0.0,0 ratings,N/A,0
2821,Ernesto Lima,Biomedical Engineering,0.0,0 ratings,100%,0
2822,Rasa Navasaityte,Architecture,1.0,2 ratings,N/A,3.5
2823,Juan Miro,Architecture,0.0,0 ratings,N/A,0
2824,Stephennie Mulder,Art History,4.7,31 ratings,97%,3
2825,Elizabeth Ilardi,Biology,0.0,0 ratings,100%,0
2826,Sarfraz Khurshid,Engineering,1.0,1 ratings,N/A,3
2827,Marie Garnier,English,0.0,0 ratings,100%,0
2828,Kaily Heitz,Geography,3.0,1 ratings,100%,4
2829,Karim Nader,Philosophy,0.0,0 ratings,N/A,0
2830,Jordan Conwell,Sociology,5.0,1 ratings,100%,3
2831,Yingda Lu,Engineering,5.0,1 ratings,100%,3
2832,Dagoberto Cortez,Sociology,5.0,1 ratings,100%,2
2833,Andrew Hintz,Computer Science,0.0,0 ratings,100%,0
2834,Lori Magruder,Engineering,0.0,0 ratings,N/A,0
2835,Laura Bright,Advertising,4.8,4 ratings,100%,2.5
2836,Jeffery Rowland,Accounting,0.0,0 ratings,N/A,0
2837,Derrek Powell,Spanish & Portuguese,0.0,0 ratings,N/A,0
2838,David Prindle,Political Science,4.4,63 ratings,88%,2.9
2839,Raul Martinez,Anthropology,0.0,0 ratings,N/A,0
2840,Lucas Dimick,Fine Arts,0.0,0 ratings,100%,0
2841,Erika Slaymaker,Sociology,0.0,0 ratings,N/A,0
2842,Raz Zarate,Education,5.0,31 ratings,100%,2.5
2843,Amanda Mixon,Women's Studies,0.0,0 ratings,100%,0
2844,Kevin Yuan,Finance,0.0,0 ratings,100%,0
2845,Teresa Blumenthal,Spanish & Portuguese,1.3,7 ratings,0%,4.7
2846,Elif Sarinay Cenik,Biology,0.0,0 ratings,N/A,0
2847,Andrew Ellington,Biology,0.0,0 ratings,N/A,0
2848,John Meth,Mathematics,4.4,173 ratings,85%,3.1
2849,Lindsay Bouchacourt,Advertising,0.0,0 ratings,N/A,0
2850,Paul Toprac,Computer Science,1.6,5 ratings,20%,3
2851,Acacia Chan,Writing,0.0,0 ratings,100%,0
2852,Linchao Luo,Architecture,0.0,0 ratings,100%,0
2853,Jin Yang,Engineering,0.0,0 ratings,100%,0
2854,Mallory Matsumoto,Religion,0.0,0 ratings,100%,0
2855,Linda Gerber,Business,3.6,9 ratings,63%,3.8
2856,Elise Brazier,Business,0.0,0 ratings,100%,0
2857,Mark Helper,Science,4.5,12 ratings,78%,3.3
2858,Lito Porto,Spanish & Portuguese,4.8,31 ratings,100%,3.9
2859,Hannah Walker,Government,0.0,0 ratings,100%,0
2860,Ashish Agarwal,Business,4.1,15 ratings,100%,4.6
2861,Farshid Alambeigi,Engineering,0.0,0 ratings,N/A,0
2862,Alex Addington,Design,0.0,0 ratings,N/A,0
2863,Barbara Bullock,Linguistics,4.2,9 ratings,100%,4
2864,David Birdsong,French & Italian,0.0,0 ratings,100%,0
2865,Tyler Watts,Engineering,0.0,0 ratings,N/A,0
2866,David Wu,Computer Science,0.0,0 ratings,100%,0
2867,Audrey Shaffer,Communication,0.0,0 ratings,N/A,0
2868,Pam Arnold,Fine Arts,3.0,1 ratings,N/A,2
2869,Eddie Chambers,Fine Arts,0.0,0 ratings,N/A,0
2870,Kerry Maguire,Fine Arts,0.0,0 ratings,N/A,0
2871,Sam Twito,Social Science,3.0,1 ratings,100%,2
2872,Zhen Yao,Physics,3.4,39 ratings,72%,3.9
2873,Alicia Armijo,Philosophy,0.0,0 ratings,N/A,0
2874,Jay Hartzell,Business,0.0,0 ratings,N/A,0
2875,Jonathan Valvano,Engineering,3.7,19 ratings,74%,3.4
2876,Nafal Ossandon Hostens,Languages,5.0,1 ratings,100%,2
2877,Todd Ditmire,Physics,3.2,15 ratings,88%,4.3
2878,Joshua Rock,Management & Info Systems,4.1,130 ratings,83%,4.2
2879,Tyler Richard,Asian Studies,0.0,0 ratings,100%,0
2880,Crystal Rosenthal,Art History,0.0,0 ratings,100%,0
2881,Alan Kuperman,International Studies,0.0,0 ratings,N/A,0
2882,Hamed Khaledi,Management & Info Systems,3.1,13 ratings,54%,3.9
2883,Daisy Adams,Art History,0.0,0 ratings,100%,0
2884,Siyan Li,Advertising,5.0,1 ratings,100%,3
2885,Dukkyun Lee,Philosophy,0.0,0 ratings,100%,0
2886,Ananth Dodabalapur,Engineering,2.9,16 ratings,87%,3.9
2887,Donald Levin,Biology,2.9,101 ratings,50%,3.6
2888,John Lassiter,Geology,3.9,12 ratings,93%,2.7
2889,Brenda Zaparroli,Spanish & Portuguese,0.0,0 ratings,N/A,0
2890,Madeline McMahon,History,0.0,0 ratings,100%,0
2891,Brian Doherty,English,3.2,56 ratings,66%,3.3
2892,Mary Viers,Philosophy,1.0,1 ratings,N/A,5
2893,Amy Lee,Neuroscience,0.0,0 ratings,N/A,0
2894,Katelyn Hatfield,Kinesiology & Health,0.0,0 ratings,100%,0
2895,Kevin Galambos,Government,0.0,0 ratings,N/A,0
2896,Noemie Hamaide,French & Italian,0.0,0 ratings,100%,0
2897,Marlena Cravens,Spanish & Portuguese,0.0,0 ratings,N/A,0
2898,Xin Nong,Government,0.0,0 ratings,N/A,0
2899,Albert MacKrell,Science,0.0,0 ratings,100%,0
2900,Vanessa Lopez,Writing,0.0,0 ratings,100%,0
2901,Mevin Hooten,Statistics,0.0,0 ratings,100%,0
2902,Rebecca Torres,Ethnic Studies,5.0,1 ratings,100%,4
2903,Eric Freeman,Fine Arts,0.0,0 ratings,100%,0
2904,Anna Teiche,Fine Arts,0.0,0 ratings,N/A,0
2905,Josh Fisher,Finance,0.0,0 ratings,N/A,0
2906,Donald Ruse,Management,0.0,0 ratings,N/A,0
2907,Daniella Bini,Languages,2.7,6 ratings,N/A,3.5
2908,Robert Abzug,History,5.0,2 ratings,100%,3
2909,Monica Fogelquist,Music,2.0,2 ratings,N/A,2
2910,Jendayi Dillard,Psychology,0.0,0 ratings,N/A,0
2911,Nora Luna,Education,1.0,2 ratings,N/A,1.5
2912,Joan Brennecke,Engineering,2.0,5 ratings,20%,4.6
2913,Despoina Mavridou,Biology,5.0,1 ratings,100%,3
2914,Sara Lundqvist,Business,2.8,6 ratings,100%,4
2915,Alexander Marras,Engineering,0.0,0 ratings,N/A,0
2916,Ellen Jones,Languages & Literatures,0.0,0 ratings,N/A,0
2917,Kathryn Hartzell,Communication,3.0,1 ratings,N/A,4
2918,Kristie Denlinger,Linguistics,0.0,0 ratings,100%,0
2919,Guo-Jhen Wu,Mathematics,0.0,0 ratings,100%,0
2920,Karen Kocher,Communication,0.0,0 ratings,100%,0
2921,Karen Kocher,Film,5.0,1 ratings,100%,2
2922,Erica Winterer,Mathematics,0.0,0 ratings,100%,0
2923,Rene Cabrera,Mathematics,0.0,0 ratings,100%,0
2924,Darrin Brager,Neuroscience,0.0,0 ratings,N/A,0
2925,Brendon Vayo,English,0.0,0 ratings,100%,0
2926,Corwin Zigler,Statistics & Data Science,0.0,0 ratings,100%,0
2927,Thomas Rushin,English,0.0,0 ratings,N/A,0
2928,Sara Toynbee,Accounting,2.5,13 ratings,39%,4.5
2929,Mike Caverly,Education,0.0,0 ratings,100%,0
2930,Marissa Knox,Education,0.0,0 ratings,100%,0
2931,Gary Anderson,Management,0.0,0 ratings,100%,0
2932,Kathleen Griesbach,Sociology,0.0,0 ratings,100%,0
2933,Tyler Bradstreet,Psychology,0.0,0 ratings,N/A,0
2934,Rowena Crabbe,Marketing,5.0,1 ratings,100%,2
2935,John Griffin,Business,1.0,1 ratings,N/A,5
2936,Iana Robitaille,Writing,5.0,1 ratings,100%,2
2937,Landon Croker,Engineering,0.0,0 ratings,N/A,0
2938,Landon Croker,"Engineering, Science, & Mechanics",0.0,0 ratings,N/A,0
2939,Martin Schmidt,Accounting,1.0,1 ratings,N/A,5
2940,Edward Castillo,Engineering,0.0,0 ratings,100%,0
2941,Suzanne Seriff,Anthropology,3.6,47 ratings,65%,2.4
2942,Paul Bonin,Fine Arts,4.8,4 ratings,88%,2.8
2943,Ray Chen,Engineering,3.0,4 ratings,67%,1.8
2944,Eric Vera,Theater,4.3,29 ratings,90%,2.9
2945,Marc Bizer,French & Italian,3.6,14 ratings,70%,3.1
2946,Jonathan Partridge,Biology,4.5,77 ratings,94%,3.3
2947,MAY WANG,Accounting,1.3,15 ratings,0%,3.7
2948,Tina Peterson,Computer Science,4.1,8 ratings,93%,2
2949,Ricky Shear,English,5.0,2 ratings,100%,2.5
2950,Maria Echavarria,Spanish & Portuguese,4.3,9 ratings,78%,2.9
2951,Celina Nevarez,Languages,4.5,12 ratings,92%,3.1
2952,Jacqueline Evans,Psychology,4.5,39 ratings,93%,2.5
2953,Larissa Bougleux,Spanish amp Portuguese,3.0,8 ratings,50%,3.7
2954,W. Rory Coker,Physics,2.9,24 ratings,50%,4.1
2955,Devleena Samanta,Chemistry,4.0,1 ratings,100%,4
2956,Preston Biro,Statistics,5.0,1 ratings,100%,2
2957,Michael Mason,Writing,0.0,0 ratings,100%,0
2958,Lars Hinrichs,English,2.0,5 ratings,0%,3.2
2959,Greg Hervey,Graphic Arts,1.8,10 ratings,20%,3.3
2960,Bindu Viswanathan,Mathematics,3.6,38 ratings,69%,3.5
2961,Nicole Awai,Fine Arts,3.3,4 ratings,100%,2.5
2962,Jeffrey Barrick,Biology,3.1,16 ratings,67%,4.3
2963,Jonghwan Kim,Biology,3.8,4 ratings,100%,4
2964,Nathaniel Gilmore,Government,3.5,2 ratings,100%,3.5
2965,Amanda Russell,Marketing,4.3,21 ratings,81%,3.4
2966,Andrea Pittard,Humanities,4.6,22 ratings,93%,2.7
2967,Gergina Pencheva,Mathematics,2.2,51 ratings,35%,3.9
2968,Raul Longoria,Engineering,0.0,0 ratings,N/A,0
2969,Gyeong Hwang,Engineering,3.0,2 ratings,67%,4
2970,Bruce McClung,Economics,2.6,4 ratings,100%,2.3
2971,Frank Register,Engineering,1.0,1 ratings,N/A,3
2972,James Gardner,Geology,4.2,6 ratings,100%,3.3
2973,Alice McCoy-Bae,Languages,4.0,34 ratings,87%,2.7
2974,Christopher Burke,Management & Info Systems,2.9,47 ratings,76%,3.3
2975,Brian Gingrich,English,4.7,3 ratings,100%,3
2976,MJ Johns,Computer Science,4.3,15 ratings,95%,2.5
2977,Megan Johns,Computer Science,5.0,1 ratings,100%,2
2978,Ana Schwartz,English,3.0,2 ratings,75%,4.5
2979,Brendon Bankey,Communication,3.3,6 ratings,67%,3.3
2980,Hongjoo Lee,Psychology,4.9,15 ratings,100%,3.5
2981,Pauline Claussen,Statistics,0.0,0 ratings,100%,0
2982,Layla Parast,Mathematics,5.0,1 ratings,100%,2
2983,Matthew Mccutchin,Advertising,5.0,1 ratings,100%,2
2984,Elijah Wilder,Linguistics,5.0,1 ratings,100%,2
2985,Arisbel Andraca,Spanish & Portuguese,5.0,1 ratings,100%,4
2986,Marcel Goldschen-Ohm,Science,0.0,0 ratings,100%,0
2987,Wei Xuexin,Neuroscience,0.0,0 ratings,N/A,0
2988,Khytie Brown,Religion,0.0,0 ratings,N/A,0
2989,Falan Buie-Madden,Theater,0.0,0 ratings,N/A,0
2990,Laura Chase,Education,0.0,0 ratings,N/A,0
2991,Moira Muldoon,Engineering,5.0,1 ratings,100%,2
2992,Kyle Kearns,Engineering,4.0,1 ratings,100%,3
2993,Taylor Johnson Karahan,American Studies,0.0,0 ratings,N/A,0
2994,Anthony Brown,Education,5.0,1 ratings,100%,2
2995,Scott Kravitz,Physics,0.0,0 ratings,100%,0
2996,Diego Rivera,Music,0.0,0 ratings,N/A,0
2997,Pamela Elias,Mathematics,0.0,0 ratings,100%,0
2998,Octavio Kano-Galvan,Advertising & Public Relations,0.0,0 ratings,100%,0
2999,Luis Rivera Figueroa,Film,0.0,0 ratings,N/A,0
3000,Irmak Balcik,Mathematics,3.0,1 ratings,100%,3
3001,Jill Kolasinski,First Year Experience,4.0,1 ratings,100%,1
3002,Susan Harkins,First Year Experience,4.0,1 ratings,100%,1
3003,Kayla Booth,Information Sciences & Technology,0.0,0 ratings,100%,0
3004,David Lauderback,History,0.0,0 ratings,100%,0
3005,Constantinos Coutifaris,Business,5.0,1 ratings,100%,3
3006,Leon Kunz,Government,5.0,1 ratings,100%,3
3007,Pauline Claussen,Management & Info Systems,0.0,0 ratings,100%,0
3008,David Springer,First Year Experience,0.0,0 ratings,N/A,0
3009,Laurel Mei-Singh,Asian Studies,5.0,1 ratings,100%,1
3010,Klara Fredriksson,Government,5.0,1 ratings,100%,1
3011,Douglas Dempster,Fine Arts,5.0,1 ratings,100%,2
3012,Sonya Forster,Business,0.0,0 ratings,N/A,0
3013,Nathan Barrymore,Business,0.0,0 ratings,N/A,0
3014,Guo Jhen Wu,Mathematics,5.0,1 ratings,100%,2
3015,Annie Johnston,Fine Arts,5.0,1 ratings,100%,1
3016,Samantha Pickette,History,0.0,0 ratings,N/A,0
3017,Samantha Pickette,Religion,0.0,0 ratings,N/A,0
3018,Xinyuan Yu,Chemistry,0.0,0 ratings,N/A,0
3019,Cindy McCreery,Film,4.0,4 ratings,100%,2.5
3020,Jacky Chong,Mathematics,2.4,34 ratings,27%,4.5
3021,Emily Caudill,Chemistry,3.1,21 ratings,100%,3.3
3022,Brent Iverson,Chemistry,4.9,86 ratings,99%,3.3
3023,Dennis Dunn,Science,4.5,31 ratings,97%,2.6
3024,Tara Craig,Mathematics,2.3,25 ratings,40%,2.7
3025,Larry Lake,Engineering,2.4,6 ratings,100%,3.2
3026,Kathy Fuller-Seeley,Film,4.9,18 ratings,100%,1.9
3027,Lorenzo Sadun,Mathematics,2.7,62 ratings,41%,4.1
3028,J. Kamas,Accounting,4.3,42 ratings,85%,3.5
3029,Elizabeth Ries,Education,0.0,0 ratings,100%,0
3030,Heather Wilber,Mathematics,4.5,4 ratings,100%,2.5
3031,John Strub,Music,0.0,0 ratings,100%,0
3032,Pauline Claussen,Business,5.0,1 ratings,100%,3
3033,Scott Rice,Film,5.0,1 ratings,100%,3
3034,Jihye Kim,Chemistry,3.0,1 ratings,100%,5
3035,Diego De Jesus Santos,Spanish & Portuguese,0.0,0 ratings,N/A,0
3036,Ashley Guidry,Communication,5.0,1 ratings,100%,2
3037,Mary Ibarrola,Anthropology,5.0,1 ratings,100%,3
3038,Xuexin Wei,Neuroscience,0.0,0 ratings,N/A,0
3039,Katie Williams,Psychology,5.0,1 ratings,100%,2
3040,Ethan Pew,Marketing,0.0,0 ratings,N/A,0
3041,Keoshia Harris,Education,0.0,0 ratings,N/A,0
3042,Melissa Biggs,Anthropology,5.0,1 ratings,100%,1
3043,Matthew Ladue,Mathematics,0.0,0 ratings,N/A,0
3044,Bernadeta Kaminska,Languages,5.0,1 ratings,100%,3
3045,Jeff Mihm,Business,0.0,0 ratings,100%,0
3046,Gregory Salmieri,Philosophy,0.0,0 ratings,N/A,0
3047,Daniel Brinks,Political Science,4.4,14 ratings,100%,2.9
3048,Kasey Claborn,First Year Experience,3.8,4 ratings,100%,2.5
3049,Michae Pasala,Computer Science,0.0,0 ratings,N/A,0
3050,Medhi Haghshenas,Social Science,3.9,130 ratings,79%,3.1
3051,Lawrence Cormack,Psychology,4.3,12 ratings,87%,2.4
3052,Bartholomew Sparrow,Political Science,2.9,23 ratings,34%,3.2
3053,Linda Reichl,Physics,2.8,11 ratings,45%,4
3054,James Gardner,Languages,0.0,0 ratings,100%,0
3055,James Tandy,Linguistics,0.0,0 ratings,100%,0
3056,Cole Holmes,Business,0.0,0 ratings,N/A,0
3057,Linda Golden,Marketing,5.0,7 ratings,100%,2.6
3058,Shirley Cohen,Computer Science,3.7,10 ratings,60%,3.1
3059,Danelle Briscoe,Architecture,1.0,2 ratings,0%,3.5
3060,Noah Davis,Computer Science,0.0,0 ratings,N/A,0
3061,Stephen Slick,Government,4.0,1 ratings,100%,3
3062,Ann Chen,Engineering,4.0,13 ratings,86%,2.7
3063,William Gilpin,Physics,5.0,1 ratings,100%,3
3064,Vincent Giordano,English,5.0,1 ratings,100%,3
3065,Sage Anderson,Education,5.0,1 ratings,100%,2
3066,Clint LaFuente,Education,4.0,1 ratings,100%,1
3067,John Savage,Communication,0.0,0 ratings,100%,0
3068,Zoya Kraus,History,0.0,0 ratings,N/A,0
3069,John Davis,Finance,5.0,1 ratings,100%,3
3070,Derek Powell,Languages,0.0,0 ratings,N/A,0
3071,Matthew Bisconti,Philosophy,0.0,0 ratings,N/A,0
3072,Marjorie Yankeelov,Music,5.0,4 ratings,100%,2.5
3073,Sally Ragsdale,Statistics,4.0,38 ratings,100%,3.2
3074,Elizabeth Klingbeil,Nutrition,5.0,1 ratings,100%,2
3075,Russ Finney,Management & Info Systems,4.5,21 ratings,96%,3.3
3076,Sung Sibum,Agriculture,3.6,7 ratings,50%,2.7
3077,Stephanie Osbakken,Sociology,4.6,43 ratings,88%,3.1
3078,George Mateer,Economics,4.0,79 ratings,83%,2.9
3079,Rebecca Feferman,Management,5.0,6 ratings,100%,1.2
3080,Marina Alexandrova,Languages,5.0,23 ratings,100%,2.3
3081,Paul McClure,"Engineering, Science, & Mechanics",2.5,34 ratings,30%,3.2
3082,Denise Spellberg,History,4.3,24 ratings,100%,3
3083,Jamie Stephens,Business,0.0,0 ratings,N/A,0
3084,Andrew Riggsby,Classics,2.4,25 ratings,56%,4.1
3085,Elliot Hauser,Information Science,2.0,1 ratings,100%,1
3086,Karianne Marks,Physics,4.7,6 ratings,100%,3.7
3087,Eric Drott,Music,4.3,6 ratings,100%,2.2
3088,Robert Bautista,Information Science,0.0,0 ratings,N/A,0
3089,Natalie Ammon,Human Dev & Family Sciences,4.0,1 ratings,100%,4
3090,Grace Greiner,English,1.0,1 ratings,N/A,5
3091,Roger Peng,Statistics & Data Science,5.0,1 ratings,100%,2
3092,Michael Rose,Chemistry,3.0,1 ratings,0%,3
3093,Andrew Augustin,Fine Arts,5.0,1 ratings,100%,2
3094,Fabrizio Bisetti,Engineering,5.0,2 ratings,100%,4.5
3095,Miguel Alvarez,Film,0.0,0 ratings,N/A,0
3096,Fan Wang,Communication,5.0,1 ratings,100%,2
3097,Michael Wynne,Languages,4.8,25 ratings,96%,2.5
3098,Hannah Lunkenheimer,Psychology,5.0,1 ratings,100%,2
3099,S. John Mihic,Biology,0.0,0 ratings,N/A,0
3100,Roman Corfas,Biology,0.0,0 ratings,100%,0
3101,Rajiv Sant,Finance,2.9,23 ratings,100%,3.7
3102,Don Miller,Linguistics,0.0,0 ratings,100%,0
3103,Eric Heflin,Information Science,0.0,0 ratings,100%,0
3104,Kimberly McErlean,Sociology,5.0,1 ratings,100%,2
3105,Clarence Chan,Biology,3.0,28 ratings,55%,4.4
3106,Johann Eberhart,Biology,4.4,5 ratings,84%,4.4
3107,Mary Parker,Mathematics,1.0,1 ratings,0%,3
3108,Paul Edgar,Middle Eastern Studies,3.3,7 ratings,100%,3.4
3109,Harriet Dinerstein,Astronomy,2.3,33 ratings,47%,3.3
3110,Stephen Jessee,Government,3.3,25 ratings,50%,2.6
3111,Craig Linder,Biology,3.3,24 ratings,66%,3.9
3112,John Schwartz,Journalism,5.0,1 ratings,100%,4
3113,Lalitha Gopalan,Communication,2.7,21 ratings,63%,2.9
3114,Amy Howard,Psychology,0.0,0 ratings,N/A,0
3115,Rodrigo Castillo Vasquez,Physics,4.7,3 ratings,100%,1.7
3116,Nicholas Palomares,Communication,1.0,1 ratings,N/A,4
3117,Aquasia Shaw,Kinesiology & Health,1.3,4 ratings,100%,4.5
3118,Michellan Quimby,Science,5.0,1 ratings,100%,3
3119,Inder Saxena,Biology,3.0,134 ratings,54%,3.8
3120,Joseph Dunsmoor,Biology,0.0,0 ratings,N/A,0
3121,Alexis Vasseur,Mathematics,4.3,8 ratings,100%,3.1
3122,John Mihic,Biology,3.1,7 ratings,75%,4.3
3123,Cristine Legare,Psychology,3.1,18 ratings,53%,3.7
3124,Kevin Auer,Design,0.0,0 ratings,100%,0
3125,Tanya Hutter,Engineering,5.0,2 ratings,100%,2
3126,Fernando Lara,Architecture,3.3,7 ratings,58%,2.4
3127,Michael Shepherd,Health Science,5.0,1 ratings,100%,2
3128,George Bittner,Neuroscience,1.0,2 ratings,N/A,5
3129,Siyun Jiang,Government,0.0,0 ratings,N/A,0
3130,Kristie Loescher,Management,3.8,21 ratings,80%,2.9
3131,Alexander Etz,Psychology,4.6,8 ratings,100%,2.9
3132,Sean Theriault,Political Science,4.1,134 ratings,86%,2.3
3133,Ana Duclaud,English,0.0,0 ratings,N/A,0
3134,Mikiya Koyagi,Middle Eastern Studies,1.0,1 ratings,0%,4
3135,Frances Pederson,Business,3.3,6 ratings,67%,3.2
3136,Goheun Kim,Biology,3.2,96 ratings,66%,3.9
3137,Zachariah Page,Chemistry,4.0,51 ratings,77%,4
3138,Carolyn Seepersad,Engineering,4.0,4 ratings,75%,1
3139,Paul von Hippel,Statistics & Data Science,0.0,0 ratings,N/A,0
3140,Hannah Williamson,Human Dev amp Family Sciences,2.8,14 ratings,43%,3.6
3141,Cassandra Callmann,Chemistry,3.4,56 ratings,62%,4.1
3142,Cary Cordova,American Studies,3.4,39 ratings,75%,3.7
3143,Ryan Doonan,Biology,5.0,1 ratings,100%,1
3144,Alison Craig,Political Science,0.0,0 ratings,100%,0
3145,Morgan Ballantine,Nursing,5.0,1 ratings,100%,2
3146,Li-Chen Lin,Nursing,3.0,1 ratings,100%,4
3147,Ashley Henneghan,Nursing,3.0,1 ratings,100%,2
3148,John-Paul Clarke,Engineering,0.0,0 ratings,N/A,0
3149,Frank Wojan,Kinesiology & Health,0.0,0 ratings,N/A,0
3150,Fathima Pary,Chemistry,0.0,0 ratings,100%,0
3151,Taylor Schoberle,Biology,3.5,6 ratings,89%,2.7
3152,Kerry Kinney,Civil Engineering,5.0,1 ratings,100%,3
3153,Michael Sierra-Arrevalo,Sociology,5.0,1 ratings,100%,3
3154,Ana Francisca Aroso Pinto de Oliveira,Architecture,4.4,5 ratings,100%,2.4
3155,Michael Baker,Fine Arts,5.0,7 ratings,100%,2.6
3156,Jiabao Li,Design,0.0,0 ratings,N/A,0
3157,Junko Hatanaka,Asian Studies,5.0,1 ratings,100%,2
3158,John Savage,Journalism,0.0,0 ratings,N/A,0
